dish_id,calories_x,mass_x,fat_x,carb_x,protein_x,calories_y,mass_y,fat_y,carb_y,protein_y,overhead_rgb_calories,overhead_rgb_mass,overhead_rgb_fat,overhead_rgb_carb,overhead_rgb_protein,overhead_rgb_brightness_minus_calories,overhead_rgb_brightness_minus_mass,overhead_rgb_brightness_minus_fat,overhead_rgb_brightness_minus_carb,overhead_rgb_brightness_minus_protein,overhead_rgb_brightness_plus_calories,overhead_rgb_brightness_plus_mass,overhead_rgb_brightness_plus_fat,overhead_rgb_brightness_plus_carb,overhead_rgb_brightness_plus_protein,overhead_rgb_contrast_minus_calories,overhead_rgb_contrast_minus_mass,overhead_rgb_contrast_minus_fat,overhead_rgb_contrast_minus_carb,overhead_rgb_contrast_minus_protein,overhead_rgb_contrast_plus_calories,overhead_rgb_contrast_plus_mass,overhead_rgb_contrast_plus_fat,overhead_rgb_contrast_plus_carb,overhead_rgb_contrast_plus_protein,overhead_rgb_saturation_minus_calories,overhead_rgb_saturation_minus_mass,overhead_rgb_saturation_minus_fat,overhead_rgb_saturation_minus_carb,overhead_rgb_saturation_minus_protein,overhead_rgb_saturation_plus_calories,overhead_rgb_saturation_plus_mass,overhead_rgb_saturation_plus_fat,overhead_rgb_saturation_plus_carb,overhead_rgb_saturation_plus_protein,calories,mass,fat,carb,protein,side_angle_rgb_calories,side_angle_rgb_mass,side_angle_rgb_fat,side_angle_rgb_carb,side_angle_rgb_protein,side_angle_rgb_brightness_minus_calories,side_angle_rgb_brightness_minus_mass,side_angle_rgb_brightness_minus_fat,side_angle_rgb_brightness_minus_carb,side_angle_rgb_brightness_minus_protein,side_angle_rgb_brightness_plus_calories,side_angle_rgb_brightness_plus_mass,side_angle_rgb_brightness_plus_fat,side_angle_rgb_brightness_plus_carb,side_angle_rgb_brightness_plus_protein,side_angle_rgb_contrast_minus_calories,side_angle_rgb_contrast_minus_mass,side_angle_rgb_contrast_minus_fat,side_angle_rgb_contrast_minus_carb,side_angle_rgb_contrast_minus_protein,side_angle_rgb_contrast_plus_calories,side_angle_rgb_contrast_plus_mass,side_angle_rgb_contrast_plus_fat,side_angle_rgb_contrast_plus_carb,side_angle_rgb_contrast_plus_protein,side_angle_rgb_saturation_minus_calories,side_angle_rgb_saturation_minus_mass,side_angle_rgb_saturation_minus_fat,side_angle_rgb_saturation_minus_carb,side_angle_rgb_saturation_minus_protein,side_angle_rgb_saturation_plus_calories,side_angle_rgb_saturation_plus_mass,side_angle_rgb_saturation_plus_fat,side_angle_rgb_saturation_plus_carb,side_angle_rgb_saturation_plus_protein
dish_1561662216,300.794281,193.0,12.387489,28.21829,18.63397,300.794281,193.0,12.387489,28.21829,18.63397,202.5,850.0,1.35,43.05,3.75,202.5,850.0,1.35,43.05,3.75,202.5,850.0,1.35,43.05,3.75,220.5,910.0,1.5300000000000002,44.97,5.37,260.5,1050.0,2.35,48.65,7.95,260.5,1050.0,2.35,48.65,7.95,202.5,850.0,1.35,43.05,3.75,300.794281,193.0,12.387489,28.21829,18.63397,0.0,700.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,384.5,900.0,4.55,1.2999999999999998,37.85,744.02,972.0,29.8672,10.398399999999999,60.826,30.1,770.0,0.07,5.04,1.61
dish_1561662054,419.438782,292.0,23.838249,26.351543,25.910593,419.438782,292.0,23.838249,26.351543,25.910593,435.5,950.0,8.8,0.44999999999999996,39.9,405.0,1000.0,6.9,9.0,70.94999999999999,0.0,700.0,0.0,0.0,0.0,542.5,800.0,26.35,50.05,25.75,202.5,850.0,1.35,43.05,3.75,785.52,1072.0,30.0497,16.8684,62.501,202.5,850.0,1.35,43.05,3.75,419.438782,292.0,23.838249,26.351543,25.910593,340.8,860.0,20.160000000000004,3.36,35.84,791.3,1360.0,30.117500000000003,75.43,46.96,808.8,1410.0,30.330000000000005,77.03,48.31,783.3,1310.0,30.067500000000003,74.28,46.61,340.8,860.0,20.160000000000004,3.36,35.84,,,,,,580.8,1160.0,28.717500000000005,31.23,42.86
dish_1562008979,382.936646,290.0,22.224644,10.17357,35.345387,382.936646,290.0,22.224644,10.17357,35.345387,529.5,850.0,27.75,8.15,61.65,189.5,200.0,2.75,1.15,39.65,8.0,50.0,0.05,1.15,0.35,189.5,200.0,2.75,1.15,39.65,210.5,200.0,1.4000000000000001,44.199999999999996,4.1,45.5,200.0,0.35,6.0699999999999985,1.565,189.5,200.0,2.75,1.15,39.65,382.936646,290.0,22.224644,10.17357,35.345387,189.5,200.0,2.75,1.15,39.65,529.5,850.0,27.75,8.15,61.65,484.5,850.0,25.05,38.15,22.35,189.5,200.0,2.75,1.15,39.65,189.5,200.0,2.75,1.15,39.65,8.0,50.0,0.05,1.15,0.35,189.5,200.0,2.75,1.15,39.65
dish_1560455030,20.59,103.0,0.148,4.625,0.956,20.59,103.0,0.148,4.625,0.956,39.21,157.0,0.4860000000000001,6.59,1.116,39.21,157.0,0.4860000000000001,6.59,1.116,39.21,157.0,0.4860000000000001,6.59,1.116,39.21,157.0,0.4860000000000001,6.59,1.116,39.21,157.0,0.4860000000000001,6.59,1.116,30.81,87.0,0.3460000000000001,5.47,0.6960000000000001,39.21,157.0,0.4860000000000001,6.59,1.116,20.59,103.0,0.148,4.625,0.956,39.21,157.0,0.4860000000000001,6.59,1.116,39.21,157.0,0.4860000000000001,6.59,1.116,39.21,157.0,0.4860000000000001,6.59,1.116,39.21,157.0,0.4860000000000001,6.59,1.116,39.21,157.0,0.4860000000000001,6.59,1.116,39.21,157.0,0.4860000000000001,6.59,1.116,14.010000000000002,87.0,0.276,1.9700000000000002,0.556
dish_1565640549,45.482903,139.0,1.568471,7.043886,2.641478,45.482903,139.0,1.568471,7.043886,2.641478,18.0,760.0,0.18000000000000005,1.92,1.62,18.0,760.0,0.18000000000000005,1.92,1.62,18.0,760.0,0.18000000000000005,1.92,1.62,18.0,760.0,0.18000000000000005,1.92,1.62,18.0,760.0,0.18000000000000005,1.92,1.62,18.0,760.0,0.18000000000000005,1.92,1.62,18.0,760.0,0.18000000000000005,1.92,1.62,45.482903,139.0,1.568471,7.043886,2.641478,43.129999999999995,199.0,0.6332000000000001,4.868399999999999,2.732,43.129999999999995,199.0,0.6332000000000001,4.868399999999999,2.732,46.61,177.0,0.41600000000000004,7.47,2.696,45.849999999999994,189.0,0.5042000000000001,5.8804,2.7535000000000003,66.13,999.0,0.7332000000000001,9.568399999999999,3.672,395.59,390.0,32.664199999999994,12.1114,6.3715,152.63,349.0,0.7832000000000001,27.3684,5.732
dish_1563207364,309.269989,271.0,13.774,30.657,15.01,309.269989,271.0,13.774,30.657,15.01,388.49999999999994,396.0,15.376700000000001,35.8416,21.760599999999997,426.78,419.0,18.274700000000003,36.1726,24.2896,254.82,275.0,11.389400000000002,17.1706,17.712999999999997,254.82,275.0,11.389400000000002,17.1706,17.712999999999997,417.15999999999997,550.0,15.722700000000001,39.19160000000001,23.830599999999997,428.73,404.0,17.2547,41.512600000000006,21.7096,340.59999999999997,436.0,15.257400000000002,24.5096,21.453999999999997,309.269989,271.0,13.774,30.657,15.01,282.12,452.0,7.2421999999999995,43.0284,5.626,531.2199999999999,678.0,18.405900000000003,62.82,21.216599999999996,352.66,444.0,7.0903,59.512,6.5766,541.09,701.0,18.559900000000003,64.522,21.4306,272.06,314.0,6.7653,43.782,5.9266,352.66,444.0,7.0903,59.512,6.5766,358.27,461.0,7.2263,60.36200000000001,6.7126
dish_1561575474,120.058434,183.0,4.966118,17.412746,2.990431,120.058434,183.0,4.966118,17.412746,2.990431,108.05,250.0,4.720000000000001,6.555,4.245,108.05,250.0,4.720000000000001,6.555,4.245,108.05,250.0,4.720000000000001,6.555,4.245,108.05,250.0,4.720000000000001,6.555,4.245,108.05,250.0,4.720000000000001,6.555,4.245,49.05,150.0,0.4200000000000001,6.255,1.845,252.5,200.0,19.4,7.8,10.5,120.058434,183.0,4.966118,17.412746,2.990431,552.55,600.0,25.095,49.905,20.939999999999998,596.5,600.0,23.174999999999997,68.69999999999999,20.85,399.55,600.0,17.22,33.855,18.645,645.55,750.0,23.595,74.95500000000001,22.695,596.5,600.0,23.174999999999997,68.7,20.849999999999998,504.7,470.0,31.065000000000005,25.52,23.255000000000003,500.02,822.0,12.042200000000001,73.64840000000001,14.776000000000002
dish_1563216717,246.007996,332.0,5.636517,16.284782,33.06871,246.007996,332.0,5.636517,16.284782,33.06871,268.0,500.0,4.15,9.05,45.15,268.0,500.0,4.15,9.05,45.15,268.0,500.0,4.15,9.05,45.15,268.0,500.0,4.15,9.05,45.15,268.0,500.0,4.15,9.05,45.15,268.0,500.0,4.15,9.05,45.15,268.0,500.0,4.15,9.05,45.15,246.007996,332.0,5.636517,16.284782,33.06871,224.5,500.0,1.6600000000000001,35.855,9.705000000000002,1294.0,680.0,63.44799999999999,118.96735999999999,55.071999999999996,184.0,350.0,1.4500000000000002,33.05,5.25,135.70000000000002,528.0,1.8792000000000004,17.3084,7.05,317.12,558.0,1.866,61.338,6.706,416.68,356.0,26.212000000000003,13.76,28.224,128.18,406.0,1.322,14.565,8.879000000000001
dish_1565972591,195.199997,122.0,12.2,3.66,17.08,195.199997,122.0,12.2,3.66,17.08,366.0,250.0,13.775,42.7,15.55,246.0,150.0,6.375,41.1,4.05,366.0,250.0,13.775,42.7,15.55,366.0,250.0,13.775,42.7,15.55,246.0,150.0,6.375,41.1,4.05,120.0,100.0,7.4,1.6,11.5,246.0,150.0,6.375,41.1,4.05,195.199997,122.0,12.2,3.66,17.08,264.5,150.0,19.299999999999997,2.2,20.2,236.6,70.0,17.78,5.88,13.3,264.5,150.0,19.299999999999997,2.2,20.2,264.5,150.0,19.299999999999997,2.2,20.2,366.0,250.0,13.775,42.7,15.55,264.5,150.0,19.299999999999997,2.2,20.2,264.5,150.0,19.299999999999997,2.2,20.2
dish_1568649312,44.459999,78.0,0.234,10.92,0.546,44.459999,78.0,0.234,10.92,0.546,93.6,208.0,0.42400000000000004,12.379999999999999,1.912,93.6,208.0,0.42400000000000004,12.379999999999999,1.912,98.41,221.0,0.4630000000000001,13.172999999999998,2.016,93.6,208.0,0.42400000000000004,12.379999999999999,1.912,3.6,8.0,0.024000000000000004,0.34,0.11199999999999999,93.6,208.0,0.42400000000000004,12.379999999999999,1.912,98.41,221.0,0.4630000000000001,13.172999999999998,2.016,44.459999,78.0,0.234,10.92,0.546,252.64,320.0,11.422400000000001,13.589599999999999,15.575999999999999,253.85,325.0,11.437400000000002,14.042599999999998,15.567999999999998,252.64,320.0,11.422400000000001,13.589599999999999,15.575999999999999,443.34000000000003,409.0,32.583999999999996,18.611,5.53,94.81,213.0,0.43900000000000006,12.832999999999998,1.9040000000000001,443.34000000000003,409.0,32.583999999999996,18.610999999999997,5.53,119.68,256.0,0.512,18.2,2.024
