condition,mae_calories,mae_mass,mae_fat,mae_carb,mae_protein
overhead_rgb,198.55181973,235.0,12.0782405,15.77941441,16.72032187
overhead_rgb_brightness_minus,183.91053755,255.86,11.58337312876,16.156566478,15.298482515340002
overhead_rgb_brightness_plus,200.08744035,260.33,11.72744501,17.41270425,16.531928150000002
overhead_rgb_contrast_minus,206.36650791,252.69,11.74225974,16.25517863,15.97515223
overhead_rgb_contrast_plus,184.9904855700001,243.34,11.059152159999998,16.02726619,16.425761169999998
overhead_rgb_saturation_minus,184.94745939,240.24,11.00929433,15.74544851,15.54002281
overhead_rgb_saturation_plus,188.24837675,228.6,11.62937163876,15.797486758,16.252975355340002
side_angle_rgb,226.37612955,292.68,12.97678434,23.07418303,15.613631130000003
side_angle_rgb_brightness_minus,240.87154040816324,322.765306122449,13.467446246163265,23.76515788571428,17.421248831285716
side_angle_rgb_brightness_plus,216.46926677,316.35,12.493011689999998,21.916234809999995,15.55817943
side_angle_rgb_contrast_minus,232.09208213,319.02,12.630655369999998,22.909743830000004,18.057150250000003
side_angle_rgb_contrast_plus,185.18989701,301.94,11.771702609999998,17.39927285,14.36878981
side_angle_rgb_saturation_minus,204.98005924242423,291.010101010101,13.197579585858584,16.407258606060605,15.651355818181818
side_angle_rgb_saturation_plus,200.80364133,300.24,11.52621969,20.54457313,15.48203787
