condition,mape_calories,mape_mass,mape_fat,mape_carb,mape_protein
overhead_rgb,94.36359742867975,142.61692294248994,244.39471743383984,101.6927175222672,97.36851804547554
overhead_rgb_brightness_minus,91.0546344971747,183.44134436657916,184.48078386274756,103.43516471003036,117.7430658984938
overhead_rgb_brightness_plus,94.61483945198336,166.36547569600313,185.20641239531307,110.16718319988688,120.92497961888216
overhead_rgb_contrast_minus,96.95655620510114,162.15511428659977,244.7408464546637,105.36024912507366,116.5350206946246
overhead_rgb_contrast_plus,89.12581421865316,154.06755470692576,183.97218374339585,113.6102100419882,116.07942769759096
overhead_rgb_saturation_minus,86.49147855990732,141.99575071914347,190.7090656946286,95.35835583290468,91.1969670153881
overhead_rgb_saturation_plus,89.69928630203665,136.7893800789908,179.32047228075123,101.02699949244209,125.87211186492112
side_angle_rgb,113.31773492319856,173.85356802004534,253.0355459278382,203.74707127687617,126.41303880756072
side_angle_rgb_brightness_minus,116.43436848077909,201.90687687258207,246.3319407340689,157.52579123871166,130.9983896586045
side_angle_rgb_brightness_plus,108.0140452377643,191.48780980159864,340.31791364555806,138.03036458121957,137.69531528450278
side_angle_rgb_contrast_minus,124.69688526807704,201.01842835728328,340.98019681538545,147.75168204760604,122.0587897605762
side_angle_rgb_contrast_plus,109.1773543716571,198.2958069846294,127.1779598138426,129.36208953588388,108.36341252035976
side_angle_rgb_saturation_minus,128.50960637071876,181.38803294168952,330.19053822880966,114.96135759100896,136.93045466631077
side_angle_rgb_saturation_plus,108.78129075214382,185.9726059779777,306.1300137022173,149.8066052328778,114.61695764479938
